role,message
RESPONSABLE,Le suivi qualite permet des ajustements rapides.
RESPONSABLE,Votre coordination soutient la satisfaction client.
CLIENT,Merci pour votre confiance nous restons a vos cotes.
CLIENT,Votre connexion est suivie pour rester performante.
CLIENT,Nos services visent une experience stable et rapide.
CLIENT,Nous monitorons votre acces pour anticiper les incidents.
CLIENT,Votre qualite de service est notre priorite quotidienne.
CLIENT,Nous restons disponibles pour toute demande d assistance.
CLIENT,Le reseau est maintenu pour un usage confortable.
CLIENT,Nos equipes techniques assurent un suivi attentif.
CLIENT,Votre service est gere avec exigence et fiabilite.
CLIENT,Nous travaillons pour une connexion toujours plus fiable.
